工作名称,工作薪资,工作网站,公司名称,公司网站,公司性质,公司地点,公司标签,公司人数,公司待遇,工作年限,招聘日期
Java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing-cyq/125507114.html?s=01&t=0,中国安全生产科学研究院,https://jobs.51job.com/all/co2792904.html,北京-朝阳区,事业单位,学术/科研,150-500人,五险一金 补充医疗保险 通讯补贴 专业培训 年终奖金 定期体检,5,2020-09-16 08:08:29
JAVA实习生,200元/天,https://jobs.51job.com/beijing-hdq/125503431.html?s=01&t=0,敦煌网,https://jobs.51job.com/all/co692383.html,北京-海淀区,外资（非欧美）,互联网/电子商务,500-1000人,工作氛围轻松 电商大平台 行业大牛 弹性工作,1,2020-09-16 04:17:22
高级java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing/125501084.html?s=01&t=0,富盛科技股份有限公司,https://jobs.51job.com/all/co100063.html,北京,民营公司,计算机服务(系统、数据服务、维修),500-1000人,做五休二 五险一金 带薪年假,5,2020-09-16 04:17:22
Java架构师,3-4万/月,https://jobs.51job.com/beijing-hdq/125501010.html?s=01&t=0,北京安德信业信息咨询有限责任公司,https://jobs.51job.com/all/co3818544.html,北京-海淀区,民营公司,互联网/电子商务,50-150人,员工旅游 专业培训 绩效奖金 年终奖金 全勤奖 带薪年假 餐饮补贴 加班补贴 节日福利 六险一金,6,2020-09-16 04:17:22
北京驻场-java中级-2年以上,1-1.5万/月,https://jobs.51job.com/beijing-xcq/125499614.html?s=01&t=0,北明软件有限公司,https://jobs.51job.com/all/co5442826.html,北京-西城区,上市公司,计算机软件,1000-5000人,五险一金 补充医疗保险 餐饮补贴 年终奖金 定期体检 电脑补助,5,2020-09-16 04:17:22
JAVA开发工程师（U8）,1-2万/月,https://jobs.51job.com/beijing-hdq/125499219.html?s=01&t=0,北京用友政务软件股份有限公司,https://jobs.51job.com/all/co113840.html,北京-海淀区,民营公司,计算机软件,1000-5000人,五险一金 补充医疗保险 免费班车 交通补贴 弹性工作 定期体检,5,2020-09-16 04:17:22
Java高级开发工程师,1-2万/月,https://jobs.51job.com/beijing/125498400.html?s=01&t=0,中关村科技软件股份有限公司,https://jobs.51job.com/all/co2557650.html,北京,合资,计算机软件,150-500人,五险一金 补充医疗保险 员工旅游 餐饮补贴 弹性工作 定期体检 节日福利,5,2020-09-16 04:17:22
Java开发工程师,1-2万/月,https://jobs.51job.com/beijing-dcq/125497499.html?s=01&t=0,上海大易云计算股份有限公司,https://jobs.51job.com/all/co2153847.html,北京-东城区,合资,计算机软件,150-500人,五险一金 通讯补贴 绩效奖金 餐饮补贴 员工旅游,5,2020-09-16 04:17:22
JAVA开发工程师（工行北研）,1.2-1.6万/月,https://jobs.51job.com/beijing-hdq/125497238.html?s=01&t=0,北京汉克时代科技有限公司,https://jobs.51job.com/all/co2844997.html,北京-海淀区,民营公司,计算机软件,1000-5000人,,5,2020-09-16 04:17:22
2021应届生-Java开发工程师（财务金融）,0.6-1.2万/月,https://jobs.51job.com/beijing-cpq/125491421.html?s=01&t=0,北京中油瑞飞信息技术有限责任公司,https://jobs.51job.com/all/co2235579.html,北京-昌平区,国企,计算机软件,1000-5000人,五险一金 补充医疗保险 免费班车 专业培训 定期体检 通讯补贴,1,2020-09-16 04:17:22
